objectid,cross,object_location,image_small,image_thumb
01-03-615,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-615.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-615_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-615_th.jpg
01-03-617,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-617.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-617_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-617_th.jpg
01-03-619,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-619.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-619_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-619_th.jpg
01-03-621,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-621.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-621_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-621_th.jpg
01-03-623,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-623.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-623_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-623_th.jpg
01-03-625,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-625.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-625_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-625_th.jpg
01-03-627,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-627.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-627_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-627_th.jpg
01-03-628,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-628.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-628_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-628_th.jpg
01-03-631,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-631.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-631_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-631_th.jpg
01-03-632,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-632.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-632_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-632_th.jpg
01-03-633,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-633.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-633_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-633_th.jpg
01-03-635,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-635.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-635_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-635_th.jpg
01-03-636,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-636.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-636_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-636_th.jpg
01-03-637,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-637.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-637_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-637_th.jpg
01-03-638,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-638.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-638_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-638_th.jpg
01-03-640,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-640.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-640_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-640_th.jpg
01-03-641,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-641.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-641_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-641_th.jpg
01-03-642,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-642.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-642_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-642_th.jpg
01-03-643,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-643.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-643_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-643_th.jpg
01-03-645,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-645.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-645_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-645_th.jpg
01-03-647,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-647.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-647_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-647_th.jpg
01-03-656,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-656.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-656_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-656_th.jpg
01-03-657,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-657.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-657_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-657_th.jpg
01-03-658,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-658.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-658_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-658_th.jpg
01-03-659,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-659.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-659_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-659_th.jpg
01-03-670,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-670.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-670_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-670_th.jpg
01-03-671,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-671.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-671_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-671_th.jpg
01-03-672,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-672.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-672_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-672_th.jpg
01-03-673,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-673.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-673_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-673_th.jpg
01-03-674,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-674.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-674_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-674_th.jpg
01-03-675,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-675.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-675_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-675_th.jpg
01-03-676,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-676.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-676_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-676_th.jpg
01-03-677,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-677.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-677_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-677_th.jpg
01-03-678,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-678.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-678_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-678_th.jpg
