objectid,cross,object_location,image_small,image_thumb
01-01-033,01-01-033,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-033.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-033_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-033_th.jpg
01-01-034,01-01-034,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-034.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-034_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-034_th.jpg
01-01-035,01-01-035,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-035.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-035_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-035_th.jpg
01-01-036,01-01-036,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-036.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-036_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-036_th.jpg
01-01-037,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-037.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-037_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-037_th.jpg
01-01-038,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-038.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-038_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-038_th.jpg
01-01-039,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-039.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-039_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-039_th.jpg
01-01-040,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-040.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-040_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-040_th.jpg
01-01-041,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-041.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-041_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-041_th.jpg
01-01-042,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-042.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-042_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-042_th.jpg
01-01-043,01-01-043,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-043.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-043_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-043_th.jpg
01-01-044,01-01-044,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-044.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-044_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-044_th.jpg
01-01-045,01-01-045,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-045.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-045_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-045_th.jpg
01-01-046,01-01-046,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-046.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-046_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-046_th.jpg
01-01-047,01-01-047,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-047.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-047_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-047_th.jpg
01-01-048,01-01-048,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-048.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-048_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-048_th.jpg
01-01-049,01-01-049,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-049.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-049_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-049_th.jpg
01-01-051,01-01-051,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-051.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-051_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-051_th.jpg
01-01-052,01-01-052,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-052.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-052_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-052_th.jpg
01-01-053,01-01-053,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-053.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-053_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-053_th.jpg
01-01-054,01-01-054,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-054.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-054_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-054_th.jpg
01-01-055,01-01-055,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-055.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-055_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-055_th.jpg
01-01-056,01-01-056,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-056.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-056_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-056_th.jpg
01-01-057,01-01-057,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-057.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-057_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-057_th.jpg
01-01-058,01-01-058,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-058.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-058_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-058_th.jpg
01-01-059,01-01-059,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-059.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-059_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-059_th.jpg
01-01-060,01-01-060,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-060.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-060_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-060_th.jpg
01-01-061,01-01-061,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-061.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-061_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-061_th.jpg
01-01-062,01-01-062,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-062.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-062_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-062_th.jpg
01-01-063,01-01-063,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-063.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-063_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-063_th.jpg
01-01-064,01-01-064,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-064.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-064_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-064_th.jpg
01-01-065,01-01-065,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-065.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-065_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-065_th.jpg
01-01-066,01-01-066,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-066.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-066_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-066_th.jpg
01-01-067,01-01-067,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-067.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-067_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-067_th.jpg
01-01-068,01-01-068,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-068.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-068_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-068_th.jpg
01-01-069,01-01-069,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-069.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-069_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-069_th.jpg
01-01-070,01-01-070,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-070.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-070_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-070_th.jpg
01-01-071,01-01-071,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-071.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-071_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-071_th.jpg
01-01-072,01-01-072,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-072.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-072_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-072_th.jpg
01-01-073,01-01-073,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-073.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-073_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-073_th.jpg
